#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
1.775551102204408949e+01 7.660936935629499844e-01
1.783567134268537302e+01 7.534776740681851104e-01
1.791583166332665300e+01 7.407914917971729629e-01
1.799599198396793653e+01 7.261055305736878740e-01
1.807615230460922007e+01 7.135517599900682573e-01
1.815631262525050005e+01 7.020086133231466796e-01
1.823647294589178358e+01 6.915193459993891345e-01
1.831663326653306711e+01 6.817504171981217942e-01
1.839679358717435065e+01 6.735173873601224548e-01
1.847695390781563418e+01 6.657883356508779160e-01
1.855711422845691416e+01 6.588489588692449939e-01
1.863727454909819770e+01 6.452974422763037010e-01
1.871743486973947768e+01 6.340813123304813725e-01
1.879759519038076121e+01 6.183608234051715113e-01
1.887775551102204474e+01 6.007148037755094538e-01
1.895791583166332828e+01 5.852418716206037042e-01
1.903807615230461181e+01 5.683333192357544750e-01
1.911823647294589179e+01 5.455176632202559661e-01
1.919839679358717532e+01 5.277284789827560996e-01
1.927855711422845886e+01 5.079916999552541723e-01
1.935871743486973884e+01 4.856407902309013425e-01
1.943887775551102237e+01 4.672497553891323818e-01
1.951903807615230590e+01 4.490743162466245275e-01
1.959919839679358944e+01 4.307752694108958891e-01
1.967935871743486942e+01 4.139588506953950087e-01
1.975951903807615295e+01 3.989362471785296571e-01
1.983967935871743649e+01 3.851016373786734781e-01
1.991983967935871647e+01 3.718422661103550908e-01
2.000000000000000000e+01 3.612705533939963298e-01
2.008016032064128353e+01 3.488346724924215048e-01
2.016032064128256707e+01 3.389038230002520136e-01
2.024048096192385060e+01 3.299254320780495298e-01
2.032064128256513058e+01 3.214040792774955357e-01
2.040080160320641411e+01 3.100194928863038157e-01
2.048096192384769410e+01 3.054618745150535220e-01
2.056112224448897763e+01 2.993483109884707560e-01
2.064128256513026116e+01 2.936437187771556712e-01
2.072144288577154470e+01 2.914830506907403751e-01
2.080160320641282823e+01 2.860637119691190611e-01
2.088176352705410821e+01 2.846481681186781021e-01
2.096192384769539174e+01 2.816898190474210750e-01
2.104208416833667528e+01 2.781592824972252687e-01
2.112224448897795526e+01 2.732110018936291240e-01
