FLUX_BATSE_64,T90,FLUENCE_BATSE,PFLX_COMP_EPEAK,TRIGGER_TIME
4.065,0.704,1.2372e-07,235.5478,60404.109775826
4.9909,0.64,2.3882e-07,218.9097,55690.475180318
9.9112,0.448,4.8664e-07,273.2042,59162.104928161
16.2244,0.96,9.0088e-07,2623.301,54961.015971888
2.1042,0.128,4.9358e-08,3899.019,56571.366913941
11.1839,0.08,1.0184e-07,299.4746,58190.977980654
2.1199,0.576,9.7129e-08,4205.026,57506.412011138
4.1592,1.92,2.4425e-07,1811.752,57202.564359819
19.2841,0.16,4.9967e-07,938.3804,56156.168399573
4.169,0.896,3.0625e-07,119.8617,58022.782004217
11.9342,0.832,5.3888e-07,0.0,60692.848586732
4.1761,0.96,2.9549e-07,544.7712,56086.488794343
4.8162,0.208,1.5131e-07,536.1563,58146.215238402
35.8503,0.208,1.0323e-06,948.3809,58844.723427594
0.5907,0.32,1.5766e-08,0.0,60957.665932955
10.5031,0.288,3.1589e-07,2158.123,57551.842217005
1.6502,0.896,7.5011e-08,0.0,58386.407297972
1.9501,1.472,8.4735e-08,0.0,59112.650545849
27.0932,0.144,1.1495e-06,1020.079,58954.366731062
2.6591,1.152,1.0269e-07,748.004,55083.854082634
2.7166,0.96,2.2427e-07,409.168,56097.884223528
7.8795,0.32,2.9213e-07,510.8411,55468.916502556
3.9113,0.704,3.2058e-07,669.1092,57358.565159818
60.9947,0.448,1.755e-06,911.5998,54890.203714253
3.711,0.512,3.0153e-07,0.0,61011.768786008
0.4427,0.192,3.0367e-08,1008.848,58708.520253975
5.7692,0.192,1.16e-07,358.3766,55122.957182901
0.7635,1.856,9.637e-08,0.0,56144.705806942
3.3076,0.384,1.2999e-07,215.5846,57542.719399022
6.2213,0.896,2.2371e-07,427.4282,57177.433840299
0.0061,0.064,1.5135e-08,0.0,59748.760821326
2.067,0.32,4.1961e-08,2512.412,58959.106233768
6.4307,0.576,9.0539e-08,323.6741,55203.073979914
2.874,0.064,5.1579e-08,554.9803,58903.415793599
11.5359,1.917,1.8819e-06,170.7539,55546.720747034
3.0808,0.336,2.4362e-08,133.5828,60191.34689044
1.9996,1.92,1.7146e-07,544.2383,55231.858376931
4.1885,1.28,1.5983e-07,1091.979,56983.087108476
2.6242,0.192,7.4547e-08,592.3087,54670.913461323
7.6767,0.32,4.3456e-07,1961.361,57740.221796045
6.0863,0.096,7.547e-08,50.60793,58056.72899447
3.8348,0.256,1.039e-07,1955.497,58225.689417287
5.381,1.536,3.12e-07,401.2027,58970.434546843
6.1876,0.192,2.2404e-07,305.8758,55161.332925491
2.5283,1.28,4.0237e-08,1082.55,56186.084906312
6.8343,0.256,1.7718e-07,0.0,60053.567863412
4.5539,0.96,3.1709e-07,660.168,54714.499248127
9.3137,1.856,1.0789e-06,0.0,60739.645114807
10.6705,0.192,2.7906e-07,1137.651,56398.770061296
0.8601,0.64,4.8689e-08,0.0,61084.349882956
3.0873,1.152,1.049e-07,131.6213,58106.279364339
1.9027,0.768,1.161e-07,217.6597,55902.511993108
4.548,0.96,2.1162e-07,404.8456,58335.54347819
5.7462,0.256,1.4889e-07,939.7919,57384.128616462
1.3596,0.192,3.9431e-08,0.0,60075.944655074
0.0792,0.016,3.0771e-08,266.4845,56963.111994665
2.3662,0.512,9.1363e-08,244.7763,54830.870612694
7.1727,0.384,3.9132e-07,1195.94,55529.652449741
4.8473,0.144,7.5705e-08,1357.729,56319.743332565
4.6053,1.088,1.5098e-07,953.6964,56027.584724448
3.0973,1.408,2.0661e-07,0.0,60954.560822088
18.056,1.024,2.3973e-06,252.4569,59362.585950956
6.4217,0.448,2.692e-07,454.9047,55707.714604272
3.1891,0.512,8.9999e-08,0.0,60858.617730493
5.3308,0.384,1.2439e-07,303.38,56170.901063364
3.7483,0.384,7.6097e-08,0.0,57873.204395215
10.2279,0.8,2.6517e-07,332.573,60048.33390028
5.2006,0.96,1.4114e-07,550.8116,55256.067576777
5.4878,0.704,1.2717e-07,89.2616,56071.133966189
2.017,0.384,6.2595e-08,297.467,55835.804150181
9.7394,0.448,3.9962e-07,1239.158,58210.406242679
0.6591,1.6,5.2163e-08,9914.39,56950.438555036
4.3303,0.256,1.6468e-07,0.0,60651.868770205
8.2948,0.744,1.0892e-07,70.71641,60566.83587921
13.1274,0.64,7.8823e-07,800.9833,57245.848770243
2.8712,1.408,1.4794e-07,0.0,59676.167154535
1.4876,1.792,1.6589e-07,0.0,58146.881475191
